# scene 10 = arrival on Namek (ids 00-0D), Vegeta's ship (0E-1A), Bulma/Cui's ship (1B-39), Vegeta vs Cui (3A-52)
# scene	id	text  ('|' line break, <FB> page pause, width 14)
10	00	Hm... This|looks like the|place where<FB>Piccolo used|to train me.
10	01	Yeah... It's|where we first|fought the|Saiyans, huh?
10	02	Look! I'm|picking up a|Dragon Ball|signal!!
10	03	It's true!|Hyaho hyaho|hyahooo!!
10	04	Krillin!|A strong ki,|over there...
10	05	Ki? ...You're|right...!
10	06	That must be|a Namekian!
10	07	B-but...
10	08	It feels a|little evil,|doesn't it...
10	09	I told you,|it's fine!
10	0A	You're right!
10	0B	Come on, let's|go meet this|Namekian.
10	0C	Huh!?
10	0D	...Huh? I've|seen that|somewhere...
10	0E	It's a Saiyan|spaceship!!!!
10	0F	I knew it!!!
10	10	Damn Frieza...|You'll never|get the Dragon|Balls...!
10	11	He brought|Zarbon and|Dodoria along!
10	12	Whatever it|takes, I must|steal the|Dragon Balls<FB>and get|eternal life...
10	13	Found one,|Lord Frieza!
10	14	That leaves|three to go.<FB>Guard it well.|Vegeta seems|to be after|them, too...
10	15	I have men|checking where|those two big<FB>power readings|appeared. We|will soon know|who they are.
10	16	Nothing to|worry about,|Zarbon.<FB>The problem is|dealing with|Vegeta, who|defied me...
10	17	Cui should be|on his way to|deal with|Vegeta, sir.
10	18	It's Vegeta...!|Gohan, hide|your ki!! Or|he'll find us!
10	19	Y-yes!
10	1A	Wh-what do we|do now...!?
10	1B	Bulma, report|this to Earth,|then go back<FB>home by|yourself,|please.<FB>We'll stay|here and look|for the Dragon|Balls.
10	1C	Got it! I'll|report this|right away...!
10	1D	Oh, Bulma!|Hm... Wh-what|did you say!?<FB>And then...!?|...I see...
10	1E	So tell Goku!|Can you hear|me?! Please!!
10	1F	Wha!?
10	20	N-no way!?
10	21	W-wait...|Wh-why is that|thing coming|back here...!?
10	22	Th-that's what|I want to|know!
10	23	You won't get|away, Vegeta!|The great Cui|will end you!
10	24	This is bad!|This is really|bad!
10	25	There should|be no more|Saiyans...
10	26	Th-then I'm|heading back|to Earth!|Good luck!!
10	27	!? Krillin!|Someone's|coming!
10	28	Huh!?
10	29	A Saiyan!?
10	2A	It's not|Vegeta... This|ki is weaker!
10	2B	Could it be a|Namekian!?
10	2C	Those guys...|They're not|Namekians...|Who are they?
10	2D	Whatever.|Orders are to|kill everyone|on the planet!
10	2E	First, take|out the ship.
10	2F	All right!
10	30	!?
10	31	Th-the ship!!!
10	32	Gohan, release|your ki...!|These guys|aren't much!
10	33	Phew.
10	34	Heyy! Nice,|nice!
10	35	I-it's over...|We're finished|now...
10	36	Let's get away|from here for|now...
10	37	W-we can never|go back to|Earth now!!
10	38	I'm sure the|Namekians can|fix the ship|for us...
10	39	Must be nice...|being so|optimistic...
10	3A	Heh heh heh...<FB>Looks like the|time has come|to settle this|rivalry...
10	3B	Rivalry?
10	3C	Heh heh heh...|I'll show you|something I|learned on|Earth...
10	3D	How to run|away faster?
10	3E	How to control|my power|level!!!
10	3F	Take a good|look at my|power level on|your scouter!
10	40	Haaaaa!
10	41	Th-that's|impossible...!!
10	42	T-twenty-four|thousand...<FB>I-it can't be!|Vegeta's power|level was|18000 at most!
10	43	It's no|surprise.|Vegeta has|always fought|on the front|lines...
10	44	W-wait Vegeta!|I just had a|great idea!<FB>If you team up|with me, we|could handle|Zarbon and|Dodoria...!
10	45	Spouting|stupid lies...|You really|get on my|nerves...
10	46	I-it's not a|lie......!|Ah!! It's|Lord Frieza!!
10	47	What!?
10	48	You fool. If|my power went|up...<FB>then so did|my speed!|Here I come!!!
10	49	His scouter|tracks my|every move...<FB>I can't get|close|carelessly.<FB>But he said|the Dragon|Balls need all|seven to work...
10	4A	All right...|I'll find just|one of them.<FB>That way|Frieza can't|become|immortal.
10	4B	V-Vegeta's|24000... was|for real...<FB>...He|f-finished off|Cui...
10	4C	Nothing to|worry about.
10	4D	Lord Frieza,|I'm picking up|Namekians|over that way.
10	4E	Is that so?|Then let's go|collect the|fifth Ball.
10	4F	.........
10	50	Bulma, this|spot is good!
10	51	...H-here...!?
10	52	Krillin, don't|you sense a ki|over there!?
10	53	Huh? You're|right...!
10	54	This ki feels|different from|those guys...
10	55	This time it|might really|be a Namekian...
10	56	I think so.
10	57	There are lots|of similar kis|over there.|They must be|Namekians!
10	58	Hm!?
10	59	Hide!!!|Another weird|ki is coming|this way!!!!
10	5A	D-do you think|they found us?
10	5B	I always say|it... How do|you guys sense|these things?
10	5C	They're here!
10	5D	G-Gohan, did|you see that?
10	5E	Y-yes......
10	5F	That weird guy|flying second|in line.
10	60	I saw him...|I-I felt an|incredible|power...
10	61	He might be|even... even|worse than|Vegeta.<FB>The others|were strong|too, but that|one was way|beyond them.
10	62	H-hey! Look|at this...
10	63	Those guys are|heading right|for the Dragon|Ball here...!<FB>It's the spot|where Krillin|sensed what he<FB>thought might|be a Namekian|earlier...
10	64	I'll go check|it out... the|place where I<FB>felt that ki|different from|those guys.
10	65	I'll go too!
10	66	All right.|Be careful!
10	67	Oh, right. I|have to call|Earth.
10	68	!18Meanwhile, Goku,|still in the<FB>hospital on|Earth...
10	69	Man, this is|so boring...
10	6A	How are you,|Goku...?<FB>Actually, some|two hours ago|Bulma and the|others called.
10	6B	Did they make|it to Namek|safely?
10	6C	They did reach|Namek safely...|But...<FB>That Saiyan,|Vegeta... it|seems he went|there too...!
10	6D	Vegeta!|He's there!?
10	6E	And he wasn't|alone. His|gang wrecked|their ship...
10	6F	Yo! Still|alive?
10	70	Korin says to|take all seven|Senzu beans he|just grew!
10	71	All right!|Perfect|timing!!|Quick, let me|eat one!
10	72	Here you go.
10	73	Ha!!
10	74	I'm going to|Namek!!
10	75	N-Namek...!?|And how do you|plan to get|there!?
10	76	Heh heh. I|asked Bulma's|dad to fix up<FB>the spaceship|I first came|to Earth in.<FB>He says it can|reach Namek in|six days!|Okay, I'm off|to help!!
10	77	Krillin.
10	78	Is that... a|Dragon Ball?
10	79	Heh heh, you|got it!
10	7A	The real Namek|Dragon Balls|are huge!
10	7B	!|A ki! It's|coming here!!!
10	7C	Vegeta!!!
10	7D	N-no way...!!|How did I not|notice his ki...
10	7E	Fancy meeting|you here.
10	7F	Judging by how|you hold that|Dragon Ball...<FB>we want the|same thing...
10	80	...Ugh...!
10	81	Listen. Before|I take that|Ball, I have|something to|do.
10	82	Huh!?
10	83	So you came...|I knew you'd|follow me!|Zarbon!!
10	84	Th-this is|the worst.
10	85	You've made|fools of us,|Vegeta...<FB>You'll tell me|where you hid|the Dragon|Balls.
10	86	Make me.
10	87	Heh heh heh...|You never|learn...
10	88	Now then...
10	89	Will you hand|over that Ball|quietly?
10	8A	If I give it|to you, w-will|you just leave|us alone...!?
10	8B	Fine. There's|no point|playing with|small fry.
10	8C	R-really...!?
10	8D	Ha ha ha ha!
10	8E	Ha ha ha ha!
10	8F	Bulmaaa!|It's us!
10	90	The cave is|pretty roomy|inside, huh.
10	91	Oh! She set up|the Capsule|House.
10	92	Ah!
10	93	What took you|guys so long!?
10	94	Ha ha...|'So long,' she|says...
10	95	Anyway, come|on inside.
10	96	My dad just|called.<FB>He says Goku|has taken off|for Namek!
10	97	All right!!
10	98	Yahoo! Yes!|Now we've got|some hope!!!
10	99	By the way,|who's the|little Piccolo|look-alike?|A Namekian?
10	9A	Hey, what's|your name?
10	9B	Dende.|Um... And who|are you?
10	9C	We are...
10	9D	Ugh!!!
10	9E	Krillin, wh-|what is this!?
10	9F	What is it,|all of a|sudden!!
10	A0	Over there...|kis are|vanishing one|after another...
10	A1	Huh!?
10	A2	Th-they're|killing more|Namekians...!
10	A3	It's Vegeta|who's killing|them!
10	A4	What horrible|people!
10	A5	We can't move|carelessly|now...
10	A6	At this rate,|he'll keep|hunting until|every Namekian|is dead...
10	A7	N-no...
10	A8	Any way you|look at it,|it's bad.
10	A9	U-um...
10	AA	Hm!?|What is it?
10	AB	P-please tell|me who you|are...!
10	AC	Krillin told|them all that|had happened.
10	AD	So that's how|it is... Now I|finally|understand...
10	AE	Please, come|with me!<FB>I'll take you|to the Grand|Elder!!
10	AF	The Grand|Elder...!?
10	B0	He alone|survived the|great disaster|long ago,<FB>and he gave|birth to|everyone on|Namek.
10	B1	Why go to this|Grand Elder!?
10	B2	The one who|attacked my|village had|four Dragon|Balls.<FB>And over there|lots of people|are being|killed, right?<FB>If so, there|are almost no|Namekians left|on the planet.
10	B3	I-I see... So|the Elder has|the last one.
10	B4	Yes!
10	B5	Right! Then we|have to hurry!
10	B6	Lead the way!|I'll go with|you!<FB>Gohan, wait|here with|Bulma!
10	B7	Understood.
10	B8	Let's go...
10	B9	Y-you...|I-I'll never|hand it to|the likes of|you!
10	BA	What a|stubborn old|man...<FB>Fine. Have it|your way. I'll|look myself.
10	BB	Well then...|let's search.
10	BC	Save?
10	BD	Ha ha ha ha!|Serves you|right!
